Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Rate Per 1000,HBIPS-2 Overall Num,HBIPS-2 Overall Den,HBIPS-2 Overall Footnote,HBIPS-3 Measure Description,HBIPS-3 Overall Rate Per 1000,HBIPS-3 Overall Num,HBIPS-3 Overall Den,HBIPS-3 Overall Footnote,HBIPS-5 Measure Description,HBIPS-5 %,HBIPS-5 Denominator,HBIPS-5 Footnote,SMD Measure Description,SMD %,SMD Denominator,SMD Footnote, SUB-2/-2a Measure Description,SUB-2 %,SUB-2 Denominator,SUB-2 Footnote ,SUB-2a %,SUB-2a Denominator,SUB-2a Footnote , SUB-3/-3a Measure Description,SUB-3 %,SUB-3 Denominator,SUB-3 Footnote ,SUB-3a %,SUB-3a Denominator,SUB-3a Footnote ,TOB-2/-2a Measure_Desc,TOB-2 %,TOB-2 Denominator,TOB-2 Footnote,TOB-2a %,TOB-2a Denominator,TOB-2a Footnote,TOB-3/-3a Measure Description,TOB-3 %,TOB-3 Denominator,TOB-3 Footnote,TOB-3a %,TOB-3a Denominator,TOB-3a Footnote,TR-1 Measure Description,TR-1 %,TR-1 Denominator,TR-1 Footnote,TR-2 Measure Description,TR-2 %,TR-2 Denominator,TR-2 Footnote,Start Date,End Date,FUH Measure Description,FUH-30 %,FUH-30 Denominator,FUH-30 Footnote,FUH-7 %,FUH-7 Denominator,FUH-7 Footnote,FUH Measure Start Date,FUH Measure End Date,READM-30-IPF Measure Desc,READM-30-IPF Category,READM-30-IPF Denominator,READM-30-IPF Rate,READM-30-IPF Lower Estimate,READM-30-IPF Higher Estimate,READM-30-IPF Footnote,READM-30-IPF Start Date,READM-30-IPF End Date,IMM-2 Measure Description,IMM-2 %,IMM-2 Denominator,IMM-2 Footnote,Flu Season Start Date,Flu Season End Date,Location
180149,TJ HEALTH COLUMBIA,901 WESTLAKE DRIVE,COLUMBIA,KY,42728,ADAIR,Hours of physical-restraint use,0,0,875,,Hours of seclusion use,0,0,875,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),8,96,,Alcohol use brief intervention provided or offered,10,21,,0,21,,Alcohol and other drug use disorder treatment provided or offered at discharge,9,45,,7,45,,Tobacco use treatment provided or offered,1,111,,0,111,,Tobacco use treatment provided or offered at discharge,0,95,,0,95,,Transition record with specified elements received by discharged patients (TR1),0,195,,Timely transmission of transition record (TR2),0,195,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,62,37,,24,37,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,130,24,19,30,,42552,43281,Influenza immunization (IPFQR-IMM-2),64,90,,43374,43555,"901 WESTLAKE DRIVE COLUMBIA, KY 42728 (37.096289, -85.29494)"
261337,MISSOURI BAPTIST SULLIVAN HOSPITAL,751 SAPPINGTON BRIDGE RD,SULLIVAN,MO,63080,FRANKLIN,Hours of physical-restraint use,0,0,2932,,Hours of seclusion use,0,0,2932,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),25,236,,Alcohol use brief intervention provided or offered,100,28,,93,28,,Alcohol and other drug use disorder treatment provided or offered at discharge,36,80,,30,80,,Tobacco use treatment provided or offered,90,135,,70,135,,Tobacco use treatment provided or offered at discharge,9,115,,3,115,,Transition record with specified elements received by discharged patients (TR1),26,354,,Timely transmission of transition record (TR2),23,354,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,64,58,,17,58,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,310,19,16,23,,42552,43281,Influenza immunization (IPFQR-IMM-2),93,168,,43374,43555,"751 SAPPINGTON BRIDGE RD SULLIVAN, MO 63080 (38.195574, -91.169288)"
334045,ELMIRA PSYCH CENTER,WASHINGTON ST,ELMIRA,NY,14901,CHEMUNG,Hours of physical-restraint use,0,67,21561,,Hours of seclusion use,0,0,21561,,Patients discharged on multiple antipsychotic medications with appropriate justification,95,62,,Screening for metabolic disorders (SMD),80,169,,Alcohol use brief intervention provided or offered,94,16,,62,16,,Alcohol and other drug use disorder treatment provided or offered at discharge,14,21,,10,21,,Tobacco use treatment provided or offered,91,58,,67,58,,Tobacco use treatment provided or offered at discharge,49,53,,4,53,,Transition record with specified elements received by discharged patients (TR1),96,241,,Timely transmission of transition record (TR2),95,241,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,80,15,,67,15,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,42552,43281,Influenza immunization (IPFQR-IMM-2),93,86,,43374,43555,
340040,VIDANT MEDICAL CENTER,2100 STANTONSBURG RD,GREENVILLE,NC,27834,PITT,Hours of physical-restraint use,0,42,15237,,Hours of seclusion use,0,56,15237,,Patients discharged on multiple antipsychotic medications with appropriate justification,95,19,,Screening for metabolic disorders (SMD),95,311,,Alcohol use brief intervention provided or offered,74,90,,74,90,,Alcohol and other drug use disorder treatment provided or offered at discharge,97,207,,97,207,,Tobacco use treatment provided or offered,85,248,,59,248,,Tobacco use treatment provided or offered at discharge,91,247,,72,247,,Transition record with specified elements received by discharged patients (TR1),38,636,,Timely transmission of transition record (TR2),33,636,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54,269,,29,269,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,720,20,17,22,,42552,43281,Influenza immunization (IPFQR-IMM-2),98,315,,43374,43555,"2100 STANTONSBURG RD GREENVILLE, NC 27834 (35.60581, -77.400952)"
360051,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409,MONTGOMERY,Hours of physical-restraint use,1,149,7888,,Hours of seclusion use,1,111,7888,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),50,209,,Alcohol use brief intervention provided or offered,94,86,,94,86,,Alcohol and other drug use disorder treatment provided or offered at discharge,84,224,,79,224,,Tobacco use treatment provided or offered,91,233,,63,233,,Tobacco use treatment provided or offered at discharge,52,221,,1,221,,Transition record with specified elements received by discharged patients (TR1),0,636,,Timely transmission of transition record (TR2),0,636,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47,85,,21,85,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,270,23,19,28,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,311,,43374,43555,
390048,GEISINGER-LEWISTOWN HOSPITAL,400 HIGHLAND AVENUE,LEWISTOWN,PA,17044,MIFFLIN,Hours of physical-restraint use,0,2,3819,,Hours of seclusion use,0,8,3819,,Patients discharged on multiple antipsychotic medications with appropriate justification,32,31,,Screening for metabolic disorders (SMD),94,267,,Alcohol use brief intervention provided or offered,94,94,,94,94,,Alcohol and other drug use disorder treatment provided or offered at discharge,88,172,,76,172,,Tobacco use treatment provided or offered,97,294,,73,294,,Tobacco use treatment provided or offered at discharge,94,265,,3,265,,Transition record with specified elements received by discharged patients (TR1),96,517,,Timely transmission of transition record (TR2),91,517,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,55,67,,25,67,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,192,20,16,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),92,248,,43374,43555,"400 HIGHLAND AVENUE LEWISTOWN, PA 17044 (40.617853, -77.567402)"
450042,PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,MC LENNAN,Hours of physical-restraint use,0,5,1700,,Hours of seclusion use,0,0,1700,,Patients discharged on multiple antipsychotic medications with appropriate justification,4,23,,Screening for metabolic disorders (SMD),1,288,,Alcohol use brief intervention provided or offered,94,181,,93,181,,Alcohol and other drug use disorder treatment provided or offered at discharge,11,291,,9,291,,Tobacco use treatment provided or offered,23,69,,22,69,,Tobacco use treatment provided or offered at discharge,2,65,,2,65,,Transition record with specified elements received by discharged patients (TR1),0,627,,Timely transmission of transition record (TR2),0,627,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,62,115,,30,115,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,388,23,19,27,,42552,43281,Influenza immunization (IPFQR-IMM-2),94,303,,43374,43555,"6901 MEDICAL PARKWAY WACO, TX 76712 (31.513243, -97.198431)"
454076,HARRIS CTY PSYCHIATRIC CTR,2800 MACGREGOR WAY,HOUSTON,TX,77021,HARRIS,Hours of physical-restraint use,0,31,70093,,Hours of seclusion use,0,761,70093,,Patients discharged on multiple antipsychotic medications with appropriate justification,58,12,,Screening for metabolic disorders (SMD),45,878,,Alcohol use brief intervention provided or offered,94,246,,71,246,,Alcohol and other drug use disorder treatment provided or offered at discharge,92,416,,52,416,,Tobacco use treatment provided or offered,100,458,,40,458,,Tobacco use treatment provided or offered at discharge,81,424,,43,424,,Transition record with specified elements received by discharged patients (TR1),72,1201,,Timely transmission of transition record (TR2),73,1201,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39,217,,21,217,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,414,25,22,29,,42552,43281,Influenza immunization (IPFQR-IMM-2),74,608,,43374,43555,"2800 MACGREGOR WAY HOUSTON, TX 77021 (29.712554, -95.375593)"
471306,SPRINGFIELD HOSPITAL,PO BOX 2003,SPRINGFIELD,VT,5156,WINDSOR,Hours of physical-restraint use,0,0,2860,,Hours of seclusion use,0,0,2860,,Patients discharged on multiple antipsychotic medications with appropriate justification,17,24,,Screening for metabolic disorders (SMD),86,166,,Alcohol use brief intervention provided or offered,4,57,,0,57,,Alcohol and other drug use disorder treatment provided or offered at discharge,94,139,,91,139,,Tobacco use treatment provided or offered,76,164,,1,164,,Tobacco use treatment provided or offered at discharge,58,153,,2,153,,Transition record with specified elements received by discharged patients (TR1),15,338,,Timely transmission of transition record (TR2),14,338,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,74,62,,47,62,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,164,19,15,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),79,150,,43374,43555,
200034,ST MARY'S REGIONAL MEDICAL CENTER,93 CAMPUS AVENUE - PO BOX 291,LEWISTON,ME,4243,ANDROSCOGGIN,Hours of physical-restraint use,0,15,6909,,Hours of seclusion use,1,215,6909,,Patients discharged on multiple antipsychotic medications with appropriate justification,40,40,,Screening for metabolic disorders (SMD),61,307,,Alcohol use brief intervention provided or offered,7,46,,4,46,,Alcohol and other drug use disorder treatment provided or offered at discharge,85,187,,83,187,,Tobacco use treatment provided or offered,45,245,,31,245,,Tobacco use treatment provided or offered at discharge,64,224,,2,224,,Transition record with specified elements received by discharged patients (TR1),65,562,,Timely transmission of transition record (TR2),53,562,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,65,139,,37,139,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,400,16,13,19,,42552,43281,Influenza immunization (IPFQR-IMM-2),87,252,,43374,43555,"93 CAMPUS AVENUE - PO BOX 291 LEWISTON, ME 04243 (44.101414, -70.198216)"
301301,COTTAGE HOSPITAL,90 SWIFTWATER RD,WOODSVILLE,NH,3785,GRAFTON,Hours of physical-restraint use,0,0,3059,,Hours of seclusion use,0,0,3059,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),98,89,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),95,133,,Timely transmission of transition record (TR2),95,133,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,82,11,,73,11,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,130,19,15,25,,42552,43281,Influenza immunization (IPFQR-IMM-2),98,48,,43374,43555,"90 SWIFTWATER RD WOODSVILLE, NH 03785 (44.136234, -72.022291)"
34026,VALLEY HOSPITAL,3550 EAST PINCHOT AVENUE,PHOENIX,AZ,85018,MARICOPA,Hours of physical-restraint use,0,4,39559,,Hours of seclusion use,0,0,39559,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,22,,Screening for metabolic disorders (SMD),100,443,,Alcohol use brief intervention provided or offered,100,293,,100,293,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,495,,100,495,,Tobacco use treatment provided or offered,100,565,,23,565,,Tobacco use treatment provided or offered at discharge,100,407,,0,407,,Transition record with specified elements received by discharged patients (TR1),99,849,,Timely transmission of transition record (TR2),74,849,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44,134,,33,134,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,610,21,18,24,,42552,43281,Influenza immunization (IPFQR-IMM-2),95,440,,43374,43555,"3550 EAST PINCHOT AVENUE PHOENIX, AZ 85018 (33.482291, -112.005315)"
420079,TRIDENT MEDICAL CENTER,9330 MEDICAL PLAZA DR,CHARLESTON,SC,29406,CHARLESTON,Hours of physical-restraint use,0,12,11194,,Hours of seclusion use,0,20,11194,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,32,,Screening for metabolic disorders (SMD),99,234,,Alcohol use brief intervention provided or offered,97,176,,97,176,,Alcohol and other drug use disorder treatment provided or offered at discharge,98,302,,97,302,,Tobacco use treatment provided or offered,100,381,,70,381,,Tobacco use treatment provided or offered at discharge,99,376,,4,376,,Transition record with specified elements received by discharged patients (TR1),98,494,,Timely transmission of transition record (TR2),98,494,,43101,43465,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39,118,,25,118,,42917,43281,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,312,24,20,28,,42552,43281,Influenza immunization (IPFQR-IMM-2),100,342,,43374,43555,"9330 MEDICAL PLAZA DR CHARLESTON, SC 29406 (32.975128, -80.072274)"
